Form_Number,Age,Gender,No.of dependents,Occupation,City,"Education(1-ungraduate, 2-graduate,3-postgraduate)",Personal Income(in $),Personal Income,Family Income(in $),Family Income,Amount invested In last 6 months,Amount invested till date(in $),Amount invested till date,Earnings till date(NFT),Retained,last_transaction
1354,64,Female,0,self_employed,557,3,8998.84,674913,11033.66,2206732,4.5,0.3,4.5,31648.00,0,NaT
1355,52,Male,0,self_employed,925,2,3076.84,230763,3482.74,696548,3.6,0.24,3.6,11265.00,0,22-09-2019
1356,60,Male,1,salaried,1020,3,5387.98,404098.5,5411.39,1082278,0.6,0.04,0.6,11726.00,0,01-10-2019
1357,31,Male,,salaried,1096,3,1026.7,77002.5,1460.48,292096,51910.05,3460.67,51910.05,2876.00,0,17-12-2019
1358,42,Male,5,self_employed,317,3,5523.5,414262.5,5649.15,1129830,12505.05,833.67,12505.05,14768.00,0,28-12-2019
1359,44,Female,0,self_employed,1020,1,2537.86,190339.5,3482.02,696404,330865.05,22057.67,330865.05,5951.00,0,18-12-2019
1360,44,Male,0,self_employed,1464,2,5990.94,449320.5,6214.87,1242974,10.05,0.67,10.05,9946.00,0,17-12-2019
1361,28,Female,0,self_employed,705,3,1785.77,133932.75,1633.91,326782,0.9,0.06,0.9,4024.00,0,21-11-2019
1362,54,Male,2,self_employed,745,3,3084.6,231345,3353.92,670784,41212.35,2747.49,41212.35,11113.00,0,16-10-2019
1363,33,Female,0,self_employed,1232,3,7946.53,595989.75,7525.55,1505110,1292.1,86.14,1292.1,7995.00,0,18-12-2019
1364,61,Female,0,self_employed,169,3,3085.2,231390,3610.07,722014,4.95,0.33,4.95,3811.00,0,27-09-2019
1365,48,Male,3,salaried,146,2,7152.25,536418.75,4437.13,887426,157424.1,10494.94,157424.1,14583.00,0,31-12-2019
1366,65,Female,0,self_employed,1096,3,4350.2,326265,4694.12,938824,7.35,0.49,7.35,8311.00,0,21-11-2019
1367,45,Female,0,self_employed,334,2,3808.42,285631.5,3779.11,755822,1.05,0.07,1.05,4884.00,0,16-10-2019
1369,41,Female,2,self_employed,146,2,7736.71,580253.25,7736.71,1547342,6.6,0.44,6.6,13531.00,0,05-09-2019
1370,28,Male,1,self_employed,1164,3,1640.81,123060.75,2617.82,523564,8407.05,560.47,8407.05,3598.00,0,20-12-2019
1371,77,Male,0,self_employed,923,3,1459.01,109425.75,1459.01,291802,3,0.2,3,3295.00,0,24-07-2019
1372,63,Female,0,self_employed,1020,2,3260.74,244555.5,3256.69,651338,4.95,0.33,4.95,7112.00,0,NaT
1373,49,Female,0,self_employed,949,3,2910.12,218259,1992.81,398562,30867.15,2057.81,30867.15,163.00,0,19-11-2019
1374,58,Male,0,salaried,969,3,4492.18,336913.5,4488.75,897750,4.5,0.3,4.5,7064.00,0,08-08-2019
1375,55,Male,0,salaried,221,1,1428.96,107172,1428.96,285792,5.85,0.39,5.85,2062.00,0,07-08-2019
1376,32,Male,4,salaried,485,2,240.07,18005.25,1676.05,335210,16852.65,1123.51,16852.65,6840.00,1,NaT
1377,56,Female,0,self_employed,623,2,10898.39,817379.25,11529.66,2305932,3.45,0.23,3.45,5053.00,0,22-03-2019
1378,48,Female,2,self_employed,1020,1,2623.73,196779.75,4000.38,800076,7.35,0.49,7.35,27027.00,0,29-01-2019
1379,71,Female,0,self_employed,575,2,14734.45,1105083.75,11546.06,2309212,7.5,0.5,7.5,23043.00,0,05-10-2019
1380,10,Female,0,student,514,2,6785.93,508944.75,2419.19,483838,3.15,0.21,3.15,260.00,1,04-12-2019
1381,49,Female,0,self_employed,,3,13660.46,1024534.5,16546.57,3309314,37535.55,2502.37,37535.55,17343.00,0,25-09-2019
1382,59,Male,4,salaried,1020,3,5209.62,390721.5,3775.87,755174,6107.55,407.17,6107.55,7620.00,0,31-12-2019
1383,13,Male,0,student,1020,1,4616.88,346266,4512.45,902490,3.45,0.23,3.45,9400.00,0,26-01-2019
1384,77,Female,0,self_employed,1020,1,14834.26,1112569.5,13910.17,2782034,1106.7,73.78,1106.7,51559.00,0,30-10-2019
1385,25,Female,0,student,1076,3,413.44,31008,6118.07,1223614,108633.6,7242.24,108633.6,1422.00,1,28-12-2019
1386,31,Female,0,self_employed,11,3,4928.2,369615,5212.42,1042484,3.6,0.24,3.6,13859.00,0,11-09-2019
1387,7,Male,0,student,1020,2,2589.57,194217.75,2489.57,497914,7.05,0.47,7.05,4124.00,0,01-11-2019
1388,70,Female,0,self_employed,1096,2,29218.08,2191356,28369.56,5673912,4.95,0.33,4.95,16030.00,0,11-12-2019
1389,66,Male,,self_employed,1337,3,65987.43,4949057.25,65987.43,13197486,4.65,0.31,4.65,144251.00,0,26-01-2019
1390,40,Male,0,self_employed,822,2,17977.23,1348292.25,30166.27,6033254,201532.05,13435.47,201532.05,28342.00,0,01-12-2019
1391,48,Male,0,salaried,879,3,44226.19,3316964.25,33996.66,6799332,7.05,0.47,7.05,6286.00,0,15-12-2019
1392,50,Male,2,self_employed,834,1,1007.05,75528.75,5527.01,1105402,37.5,2.5,37.5,21521.00,0,03-10-2019
1394,31,Male,0,self_employed,818,2,2330.23,174767.25,2459.95,491990,5.55,0.37,5.55,6378.00,0,NaT
1396,35,Male,0,salaried,146,2,3346.03,250952.25,6872.67,1374534,204.9,13.66,204.9,12842.00,0,04-12-2019
1397,29,Male,0,salaried,1181,2,2143.93,160794.75,1852.37,370474,2575.05,171.67,2575.05,1959.00,0,13-12-2019
1398,47,Male,3,self_employed,1020,1,449.29,33696.75,2807.21,561442,32970.6,2198.04,32970.6,7445.00,1,05-11-2019
1399,60,Female,0,self_employed,409,1,31664.16,2374812,33308.52,6661704,18021.9,1201.46,18021.9,80410.00,0,31-12-2019
1400,21,Female,0,student,334,1,416.18,31213.5,1660.15,332030,129515.1,8634.34,129515.1,7420.00,0,17-12-2019
1401,80,Female,0,self_employed,1020,2,29197.84,2189838,30105.03,6021006,3.9,0.26,3.9,74182.00,0,25-12-2019
1402,61,Female,0,self_employed,1020,3,1401.61,105120.75,2178.03,435606,11795.85,786.39,11795.85,4248.00,0,19-12-2019
1403,72,Male,0,self_employed,1232,2,869.92,65244,2400.9,480180,1076.85,71.79,1076.85,6113.00,0,21-11-2019
1404,54,Male,0,salaried,334,3,3003.6,225270,2033.75,406750,3953.1,263.54,3953.1,812.00,0,12-12-2019
1405,74,Male,0,retired,479,2,11291.2,846840,10770.69,2154138,7.65,0.51,7.65,20716.00,0,04-12-2019
1407,67,Male,0,salaried,1046,2,4702.05,352653.75,3256.92,651384,16080.15,1072.01,16080.15,5147.00,0,17-12-2019
1408,90,,,self_employed,1271,3,5887.6,441570,5597.83,1119566,5.1,0.34,5.1,10019.00,0,13-12-2019
1409,25,Male,0,student,1020,3,6083.02,456226.5,5538.45,1107690,0.6,0.04,0.6,11175.00,0,22-11-2019
1410,66,Female,0,self_employed,1388,1,10780.91,808568.25,7374.81,1474962,3,0.2,3,6797.00,0,07-11-2019
1411,43,Male,2,self_employed,1020,3,4342.06,325654.5,3339.94,667988,45091.65,3006.11,45091.65,6206.00,0,26-12-2019
1412,54,Female,0,self_employed,797,3,655.51,49163.25,3581.18,716236,102239.55,6815.97,102239.55,2606.00,1,28-11-2019
1413,53,Male,0,salaried,1020,3,1429.17,107187.75,2480.31,496062,40998.45,2733.23,40998.45,4006.00,0,13-12-2019
1414,35,Male,9,self_employed,1004,3,5499.45,412458.75,7528.91,1505782,17023.65,1134.91,17023.65,18416.00,0,31-12-2019
1415,31,Female,0,salaried,478,2,2918.61,218895.75,2918.61,583722,9.6,0.64,9.6,6380.00,0,04-02-2019
1416,69,Male,0,retired,259,3,6145.56,460917,6222.45,1244490,6.6,0.44,6.6,13826.00,0,11-05-2019
1417,43,Male,0,salaried,146,3,2017.23,151292.25,2247.67,449534,39202.65,2613.51,39202.65,9233.00,0,05-12-2019
1418,37,Female,0,self_employed,255,2,3595.63,269672.25,3962.45,792490,8.55,0.57,8.55,10968.00,0,14-02-2019
1419,53,Male,0,self_employed,1020,1,72.46,5434.5,1500.7,300140,0.9,0.06,0.9,3525.00,0,NaT
1420,59,Male,3,self_employed,334,2,2135.52,160164,2094.9,418980,23043.9,1536.26,23043.9,4948.00,0,21-11-2019
1422,61,Male,2,self_employed,1096,1,13556.13,1016709.75,14185.44,2837088,13498.5,899.9,13498.5,34880.00,0,19-12-2019
1424,69,Male,0,self_employed,834,3,3655.6,274170,3655.6,731120,1.65,0.11,1.65,7991.00,0,NaT
1425,70,Male,0,salaried,1589,2,6705.21,502890.75,4808.4,961680,7.35,0.49,7.35,13566.00,0,07-12-2019
1426,90,Female,0,self_employed,1096,2,6021.03,451577.25,6005.24,1201048,1.5,0.1,1.5,12590.00,0,19-03-2019
1427,33,Female,0,salaried,575,3,2035.69,152676.75,1923.63,384726,8356.35,557.09,8356.35,3881.00,0,13-12-2019
1428,75,Female,,self_employed,1598,2,11911.57,893367.75,9419.47,1883894,3,0.2,3,6536.00,0,20-10-2019
1429,68,Male,0,self_employed,1477,1,8815.93,661194.75,11811.93,2362386,29391.45,1959.43,29391.45,2466.00,0,28-09-2019
1430,21,Female,0,student,1065,2,1871.88,140391,2407.87,481574,3.15,0.21,3.15,5555.00,0,20-08-2019
1431,37,Male,0,self_employed,1138,2,13346.67,1001000.25,12974.23,2594846,28935.45,1929.03,28935.45,30428.00,0,21-11-2019
1432,60,Male,0,retired,856,2,2960.56,222042,2253.95,450790,0.6,0.04,0.6,3352.00,0,17-11-2019
1434,48,Male,0,self_employed,,2,5596.4,419730,5567.59,1113518,8.1,0.54,8.1,18680.00,0,26-02-2019
1435,46,Male,2,self_employed,621,2,1130.1,84757.5,1610.55,322110,26257.65,1750.51,26257.65,3149.00,0,15-11-2019
1436,30,Female,,self_employed,623,2,254.93,19119.75,8999.63,1799926,13244.85,882.99,13244.85,2350.00,1,31-12-2019
1437,58,Male,2,self_employed,61,3,5060.16,379512,7287.25,1457450,198146.85,13209.79,198146.85,23581.00,1,19-11-2019
1438,68,Male,0,self_employed,146,2,2858.98,214423.5,3253.61,650722,2631.6,175.44,2631.6,6759.00,1,27-12-2019
1439,52,Male,0,self_employed,1449,3,1351.66,101374.5,1651.7,330340,52189.5,3479.3,52189.5,3064.00,0,28-11-2019
1440,46,Female,0,self_employed,575,3,0.37,27.75,3637.81,727562,3678.15,245.21,3678.15,1107.00,1,11-12-2019
1441,57,Male,2,salaried,468,3,5395.51,404663.25,3292.01,658402,1636087.65,109072.51,1636087.65,6809.00,0,20-12-2019
1443,65,Female,0,self_employed,146,1,1342.77,100707.75,8707.86,1741572,1581434.55,105428.97,1581434.55,29908.00,1,12-11-2019
1444,25,Male,0,student,834,2,6071.91,455393.25,6290.27,1258054,921.15,61.41,921.15,7152.00,0,31-12-2019
1447,40,Male,0,self_employed,1096,2,4021.11,301583.25,4020.16,804032,4.5,0.3,4.5,8787.00,0,NaT
1448,80,Male,0,retired,1562,2,4032,302400,4054.02,810804,1682.55,112.17,1682.55,8908.00,0,20-12-2019
1449,9,Female,0,student,1494,2,257.92,19344,2621.08,524216,7908.75,527.25,7908.75,9510.00,0,08-06-2019
1450,18,Male,0,self_employed,623,2,2854.69,214101.75,4258.98,851796,42864.45,2857.63,42864.45,12321.00,0,31-12-2019
1451,40,Female,0,salaried,1180,2,1276.7,95752.5,2031.36,406272,52.35,3.49,52.35,2321.00,0,26-12-2019
1452,41,Male,0,salaried,904,3,1971.13,147834.75,1973.28,394656,9.45,0.63,9.45,4328.00,0,NaT
1453,29,Male,0,self_employed,,2,3175.66,238174.5,4185.32,837064,24022.95,1601.53,24022.95,8724.00,0,07-11-2019
1455,34,Male,0,self_employed,905,2,4169.23,312692.25,3365.28,673056,8.85,0.59,8.85,6842.00,0,13-12-2019
1456,37,Male,0,salaried,146,3,6461.09,484581.75,7821.5,1564300,33956.55,2263.77,33956.55,9609.00,0,11-12-2019
1457,43,Male,0,self_employed,61,2,9868.45,740133.75,7600.52,1520104,1.5,0.1,1.5,6592.00,0,25-10-2019
1458,71,Female,0,self_employed,1096,2,11205.04,840378,11205.04,2241008,5.85,0.39,5.85,24495.00,0,NaT
1459,90,,0,self_employed,665,2,6529.3,489697.5,17070.12,3414024,10.35,0.69,10.35,27552.00,1,24-12-2019
1460,68,Female,0,self_employed,15,2,3056.13,229209.75,3498.24,699648,2147.85,143.19,2147.85,8854.00,0,24-12-2019
1461,74,Male,0,self_employed,1020,2,90.43,6782.25,3098.12,619624,537516.6,35834.44,537516.6,1454.00,1,14-12-2019
1462,55,Male,0,self_employed,1096,1,10372.52,777939,10516.21,2103242,165731.85,11048.79,165731.85,22949.00,0,12-11-2019
1463,64,Female,0,self_employed,1111,3,1968.76,147657,6283.6,1256720,8.1,0.54,8.1,12420.00,1,06-12-2019
1464,42,Male,0,self_employed,1046,2,14589.42,1094206.5,14263.36,2852672,2.1,0.14,2.1,21026.00,0,31-10-2019
1465,20,Male,0,student,1096,2,341.45,25608.75,2541.78,508356,5.55,0.37,5.55,6993.00,1,05-02-2019
1466,54,Male,0,self_employed,1020,1,9296.12,697209,6243.36,1248672,68556.15,4570.41,68556.15,7969.00,0,03-12-2019
1467,69,Male,1,retired,1232,3,2008.71,150653.25,1993.33,398666,8.4,0.56,8.4,4316.00,0,04-04-2019
1468,36,Female,0,self_employed,146,3,18807.93,1410594.75,15342.67,3068534,7158.15,477.21,7158.15,16685.00,0,14-11-2019
1469,33,Female,0,self_employed,1252,3,897.86,67339.5,2373,474600,32152.65,2143.51,32152.65,3477.00,1,07-09-2019
1470,69,Female,0,retired,649,2,-5213.02,-390976.5,8067.56,1613512,6.45,0.43,6.45,1446.00,0,15-10-2019
1471,41,Male,2,self_employed,462,2,389.24,29193,4441.83,888366,384306.15,25620.41,384306.15,21264.00,1,31-12-2019
1472,30,Male,0,self_employed,1232,2,250.6,18795,4620.36,924072,101783.55,6785.57,101783.55,11802.00,1,31-12-2019
1473,46,Male,3,self_employed,1239,3,655.89,49191.75,1673.88,334776,7751.1,516.74,7751.1,3222.00,1,19-12-2019
1474,58,Male,0,salaried,1111,2,8142.95,610721.25,9359.29,1871858,105644.55,7042.97,105644.55,37302.00,0,17-12-2019
1475,64,Male,0,salaried,630,3,1701.32,127599,1572.29,314458,2.1,0.14,2.1,3095.00,0,13-11-2019
1476,36,Female,0,self_employed,282,3,2150.54,161290.5,2051.06,410212,4.5,0.3,4.5,4147.00,0,26-12-2019
1477,35,Male,0,self_employed,949,2,2194.61,164595.75,2146.42,429284,301429.95,20095.33,301429.95,4640.00,0,04-12-2019
1478,79,Male,0,retired,1034,2,2028.42,152131.5,2188.11,437622,3863.55,257.57,3863.55,6001.00,0,30-12-2019
1479,55,Female,0,self_employed,234,3,7025.12,526884,1630.05,326010,2581.65,172.11,2581.65,440.00,0,16-12-2019
1480,31,Male,0,self_employed,1020,3,3461.22,259591.5,5503.6,1100720,16505.4,1100.36,16505.4,23958.00,0,26-11-2019
1481,34,Male,0,salaried,1174,3,1543.37,115752.75,2643.54,528708,0.15,0.01,0.15,6508.00,0,22-03-2019
1482,66,Male,0,salaried,1020,2,3940.65,295548.75,1797.54,359508,5572.05,371.47,5572.05,1243.00,0,24-12-2019
1484,32,Male,0,self_employed,50,2,2813.02,210976.5,3086.85,617370,17699.4,1179.96,17699.4,8251.00,0,20-12-2019
1485,29,Female,,self_employed,491,2,4120.53,309039.75,2966.45,593290,8.55,0.57,8.55,5103.00,0,21-12-2019
1486,79,Male,0,self_employed,1020,1,19382.89,1453716.75,16008.88,3201776,3.15,0.21,3.15,27986.00,1,05-12-2019
1487,62,Male,0,self_employed,1020,2,39518.75,2963906.25,18344.77,3668954,178922.4,11928.16,178922.4,16770.00,0,28-12-2019
1488,33,Female,0,salaried,623,2,8576.88,643266,6273.34,1254668,26144.1,1742.94,26144.1,4571.00,0,03-12-2019
1489,76,Female,0,retired,318,3,3444.32,258324,5256.62,1051324,46074.15,3071.61,46074.15,9165.00,0,02-08-2019
1490,85,Male,0,self_employed,1020,1,11387.05,854028.75,8736.09,1747218,9.9,0.66,9.9,12259.00,0,25-12-2019
1491,69,Male,0,retired,1364,1,6305.84,472938,8716.41,1743282,18955.05,1263.67,18955.05,36600.00,0,26-12-2019
1492,43,Male,3,salaried,50,2,2459.71,184478.25,1669.03,333806,53.4,3.56,53.4,5151.00,0,31-12-2019
1494,47,Female,0,self_employed,26,2,1898.67,142400.25,1469.78,293956,2514,167.6,2514,1643.00,0,26-12-2019
1495,41,Female,0,self_employed,630,3,4314.72,323604,3798.27,759654,21438.45,1429.23,21438.45,9438.00,0,11-12-2019
1496,61,Female,0,self_employed,122,2,19832.34,1487425.5,22937.16,4587432,19207.65,1280.51,19207.65,56042.00,0,11-07-2019
1497,34,Male,0,self_employed,1577,2,2441.11,183083.25,2441.11,488222,9.45,0.63,9.45,3544.00,1,25-05-2019
1498,55,Female,2,salaried,334,2,7516.45,563733.75,7505.16,1501032,1213.95,80.93,1213.95,16839.00,0,07-12-2019
1499,38,Male,1,self_employed,320,2,2320.25,174018.75,2484.84,496968,73165.65,4877.71,73165.65,19038.00,0,29-11-2019
1501,47,Female,0,self_employed,61,3,4791.94,359395.5,4877.41,975482,8.1,0.54,8.1,9949.00,0,17-07-2019
1502,33,Female,0,salaried,1020,3,3776.06,283204.5,4416.69,883338,5107.8,340.52,5107.8,10742.00,0,31-07-2019
1503,42,Female,0,self_employed,15,2,4896.9,367267.5,3373.43,674686,5.85,0.39,5.85,6754.00,0,24-12-2019
1504,81,Male,0,retired,1161,3,3434.76,257607,2954.59,590918,85719,5714.6,85719,4190.00,0,29-11-2019
1505,60,Male,0,self_employed,1277,1,717.05,53778.75,3027.08,605416,4959.9,330.66,4959.9,8517.00,0,17-12-2019
1506,78,Female,0,retired,146,2,3404.99,255374.25,3180.39,636078,1504.5,100.3,1504.5,6573.00,0,30-10-2019
1507,78,Male,0,retired,1525,1,7912.32,593424,7913.18,1582636,29.55,1.97,29.55,27232.00,0,25-06-2019
1508,43,Male,,self_employed,856,3,3539.83,265487.25,3822.37,764474,92152.5,6143.5,92152.5,4763.00,0,18-12-2019
1509,66,Male,0,retired,1565,3,1545.01,115875.75,1643.3,328660,1.35,0.09,1.35,4184.00,0,26-06-2019
1510,90,Female,0,self_employed,1181,1,13759.44,1031958,13862.11,2772422,10960.65,730.71,10960.65,28206.00,0,20-12-2019
1511,43,Male,0,salaried,334,2,24851.53,1863864.75,26789.16,5357832,353202.75,23546.85,353202.75,4208.00,0,17-11-2019
1514,30,Female,0,self_employed,834,3,1776.06,133204.5,1969.33,393866,8964.15,597.61,8964.15,3789.00,0,18-12-2019
1515,74,Male,2,self_employed,15,1,2967.3,222547.5,1756.18,351236,47878.65,3191.91,47878.65,4558.00,0,31-12-2019
1516,54,Male,0,self_employed,891,2,5446.12,408459,4697.71,939542,36994.5,2466.3,36994.5,13591.00,0,26-12-2019
1518,41,Female,0,self_employed,1235,3,8744.44,655833,8744.44,1748888,3.15,0.21,3.15,18993.00,0,18-07-2019
1519,4,Male,0,student,409,2,8017.18,601288.5,8017.18,1603436,6.15,0.41,6.15,17380.00,0,24-07-2019
1520,61,Male,2,self_employed,1020,2,858.4,64380,1717.98,343596,49870.65,3324.71,49870.65,3127.00,0,17-12-2019
1521,44,Female,0,self_employed,334,3,2476.06,185704.5,3463.61,692722,55604.85,3706.99,55604.85,22835.00,0,12-12-2019
1522,90,Male,0,retired,1020,2,9361.83,702137.25,7184.08,1436816,63013.65,4200.91,63013.65,63452.00,0,31-12-2019
1523,62,Male,0,salaried,241,3,5501.3,412597.5,5207.99,1041598,15878.4,1058.56,15878.4,32597.00,0,12-12-2019
1524,89,Male,0,retired,649,2,3859.48,289461,3799.73,759946,4294.95,286.33,4294.95,7346.00,0,05-12-2019
1525,34,Male,0,salaried,409,3,3392.39,254429.25,3657.48,731496,30620.85,2041.39,30620.85,27312.00,0,05-12-2019
1526,37,Male,0,salaried,,3,1212.05,90903.75,1796.14,359228,8.55,0.57,8.55,13040.00,0,19-12-2019
1527,51,Female,0,self_employed,1020,1,14166.83,1062512.25,8701.31,1740262,1377.9,91.86,1377.9,19168.00,0,24-12-2019
1528,90,,0,company,409,2,7285.42,546406.5,6023.19,1204638,2.4,0.16,2.4,9073.00,0,19-11-2019
1530,50,Female,0,self_employed,1096,3,1841.5,138112.5,1771.26,354252,13079.55,871.97,13079.55,1524.00,0,20-11-2019
1531,46,Female,0,salaried,1525,2,3207.01,240525.75,3157.8,631560,4166.55,277.77,4166.55,8208.00,0,07-12-2019
1532,58,Female,0,self_employed,372,2,3384.34,253825.5,3390.48,678096,221.85,14.79,221.85,1586.00,0,24-09-2019
1533,29,Male,0,self_employed,169,1,374.5,28087.5,4653.94,930788,10.05,0.67,10.05,7391.00,0,NaT
1534,44,Female,0,self_employed,496,2,4319.55,323966.25,4314.88,862976,4.05,0.27,4.05,8799.00,0,11-09-2019
1535,33,Male,0,self_employed,762,2,1261.32,94599,1524.79,304958,540.45,36.03,540.45,1564.00,0,11-05-2019
1536,41,Female,0,self_employed,34,1,2618.72,196404,2184.85,436970,438,29.2,438,3382.00,0,31-12-2019
1537,43,Male,0,salaried,1076,3,1268.19,95114.25,1551.72,310344,1641.3,109.42,1641.3,2999.00,0,12-12-2019
1538,62,Male,2,self_employed,1494,3,3303.23,247742.25,3005.68,601136,58436.4,3895.76,58436.4,8873.00,0,28-12-2019
1539,67,Female,0,self_employed,1337,2,5389.01,404175.75,5292.23,1058446,9.15,0.61,9.15,11105.00,0,13-11-2019
1540,23,Male,0,salaried,1096,3,1874.22,140566.5,1492.26,298452,27542.25,1836.15,27542.25,1645.00,1,31-12-2019
1541,71,Female,0,retired,1626,3,7133.47,535010.25,3868.07,773614,9.6,0.64,9.6,22686.00,0,01-12-2019
1542,58,Female,0,salaried,814,2,2151.18,161338.5,3257.69,651538,27866.55,1857.77,27866.55,7438.00,0,12-12-2019
1543,27,Female,,self_employed,1110,3,715.76,53682,1701.86,340372,24008.55,1600.57,24008.55,4568.00,1,05-06-2019
1544,48,Male,2,self_employed,531,3,1917.09,143781.75,2137.12,427424,2960.4,197.36,2960.4,4128.00,0,11-10-2019
1545,59,Male,0,salaried,1076,3,3119.9,233992.5,3057.57,611514,6.6,0.44,6.6,5951.00,0,03-12-2019
1546,21,Female,,student,1020,1,5321.3,399097.5,4363.24,872648,5.55,0.37,5.55,4629.00,0,31-10-2019
1547,63,Female,0,self_employed,61,2,4313.92,323544,12699.72,2539944,262465.5,17497.7,262465.5,41896.00,0,28-12-2019
1549,33,Female,0,salaried,409,2,8613.28,645996,23280.74,4656148,391.5,26.1,391.5,20369.00,1,14-12-2019
1550,50,Male,2,self_employed,1589,2,3919.57,293967.75,11740.56,2348112,4109.85,273.99,4109.85,27502.00,1,05-09-2019
1551,60,Male,,self_employed,69,2,2894.75,217106.25,2894.75,578950,1.05,0.07,1.05,6354.00,0,29-05-2019
1552,49,Female,0,self_employed,995,2,11841.38,888103.5,11841.38,2368276,1.95,0.13,1.95,20249.00,0,13-08-2019
1553,53,Male,0,self_employed,904,2,27860.75,2089556.25,29223.64,5844728,6.6,0.44,6.6,72772.00,0,14-06-2019
1554,29,Male,0,self_employed,1589,2,2030.85,152313.75,1955.09,391018,32147.4,2143.16,32147.4,2178.00,0,12-10-2019
1555,45,Female,0,self_employed,1464,2,2083.87,156290.25,2083.87,416774,9.45,0.63,9.45,4554.00,1,30-01-2019
1556,60,Male,1,self_employed,1020,2,1018.32,76374,2889.11,577822,43482.15,2898.81,43482.15,2523.00,0,27-09-2019
1558,55,Male,0,self_employed,328,2,3923.63,294272.25,1502.53,300506,25.35,1.69,25.35,3978.00,0,30-11-2019
1559,37,Female,0,salaried,575,3,31220.28,2341521,29292.31,5858462,10.05,0.67,10.05,52616.00,0,01-11-2019
1560,90,,,self_employed,1020,2,3641.92,273144,3641.92,728384,6.15,0.41,6.15,7954.00,0,09-03-2019
1561,47,Female,0,self_employed,,3,3342,250650,3126.31,625262,1.5,0.1,1.5,6407.00,0,11-12-2019
1562,57,Male,0,salaried,706,3,2273.85,170538.75,3681.59,736318,61.95,4.13,61.95,9189.00,1,22-12-2019
1563,38,Male,2,self_employed,623,3,623.21,46740.75,2438.79,487758,30982.95,2065.53,30982.95,515.00,1,27-12-2019
1565,41,Male,0,company,623,2,1766.25,132468.75,2010.2,402040,5579.85,371.99,5579.85,5171.00,0,03-10-2019
1566,32,Male,0,self_employed,578,2,1453.96,109047,1489.06,297812,107.55,7.17,107.55,3195.00,1,22-08-2019
1567,35,Female,0,student,1216,2,17929.69,1344726.75,13032.19,2606438,1.65,0.11,1.65,16026.00,0,NaT
1568,73,Female,0,self_employed,1034,2,19532.48,1464936,18881.18,3776236,1.65,0.11,1.65,37297.00,0,NaT
1569,64,Male,1,self_employed,1020,1,22784.27,1708820.25,15756.44,3151288,910444.2,60696.28,910444.2,26636.00,0,31-12-2019
1570,54,Female,0,self_employed,1271,2,2972.33,222924.75,6760.45,1352090,4.35,0.29,4.35,16462.00,1,29-01-2019
1571,36,Male,0,self_employed,1096,3,3437.35,257801.25,2622.97,524594,90512.4,6034.16,90512.4,6094.00,0,16-08-2019
1572,27,Male,0,student,1020,2,787.88,59091,1681.37,336274,40489.35,2699.29,40489.35,4117.00,1,27-12-2019
1573,46,Male,0,self_employed,1033,3,24647.17,1848537.75,24954.39,4990878,6,0.4,6,69478.00,0,27-04-2019
1574,35,Male,0,salaried,743,3,252.8,18960,2766.65,553330,0.9,0.06,0.9,20244.00,0,30-06-2019
1575,55,Female,1,self_employed,1224,2,9291.9,696892.5,7214.99,1442998,5.85,0.39,5.85,10722.00,0,17-12-2019
1576,46,Male,0,salaried,1020,2,192364.72,14427354,47455.08,9491016,4278.3,285.22,4278.3,333522.00,1,11-12-2019
1577,24,Male,0,self_employed,658,3,1180.75,88556.25,1618.47,323694,22022.55,1468.17,22022.55,3122.00,0,27-12-2019
1578,45,Female,0,self_employed,146,3,145.85,10938.75,8957.16,1791432,458.55,30.57,458.55,21313.00,1,31-12-2019
1579,38,Male,3,self_employed,243,2,3756.93,281769.75,3847.54,769508,2145.45,143.03,2145.45,8007.00,0,06-12-2019
1580,42,Female,0,salaried,569,2,10948.94,821170.5,10830.66,2166132,3305.85,220.39,3305.85,12979.00,0,21-11-2019
1581,62,Female,0,self_employed,1020,1,16656.14,1249210.5,16185.52,3237104,8.55,0.57,8.55,30031.00,0,13-08-2019
1582,31,Female,0,salaried,649,3,6054.64,454098,6007.45,1201490,1647,109.8,1647,8235.00,0,14-12-2019
1583,38,Male,0,salaried,1232,3,1708.98,128173.5,3014.15,602830,19296.15,1286.41,19296.15,7326.00,0,31-12-2019
1584,43,Male,3,self_employed,1232,1,27.95,2096.25,2179.48,435896,35975.4,2398.36,35975.4,20176.00,1,22-12-2019
1585,47,Male,0,self_employed,499,2,17463.56,1309767,10934.92,2186984,5364.9,357.66,5364.9,348.00,0,09-11-2019
1586,15,Male,0,student,1020,2,1582.22,118666.5,1566.54,313308,10720.5,714.7,10720.5,2772.00,0,29-10-2019
1587,50,Female,0,self_employed,334,2,2356.9,176767.5,2334.28,466856,2.1,0.14,2.1,4923.00,0,27-10-2019
1588,55,Male,1,salaried,1232,3,6267.74,470080.5,4632.76,926552,9,0.6,9,6725.00,0,20-03-2019
1589,34,Female,,self_employed,834,3,1.54,115.5,5642.27,1128454,7.95,0.53,7.95,14188.00,1,30-06-2019
1590,16,Female,,student,968,3,374.38,28078.5,2271.07,454214,3.9,0.26,3.9,5504.00,1,NaT
1592,35,Female,,self_employed,1232,3,2597.8,194835,1527.79,305558,859.05,57.27,859.05,1172.00,0,25-12-2019
1593,46,Female,1,salaried,834,1,25611.76,1920882,11449.18,2289836,36008.1,2400.54,36008.1,17167.00,0,17-12-2019
